"dv","within","id","between"
2,"t1","1","girl"
4,"t2","1","boy"
4,"t3","1","girl"
8,"t4","1","boy"
1,"t1","2","girl"
5,"t2","2","boy"
6,"t3","2","girl"
7,"t4","2","boy"
3,"t1","3","girl"
5,"t2","3","boy"
4,"t3","3","girl"
8,"t4","3","boy"
2,"t1","4","girl"
6,"t2","4","boy"
6,"t3","4","girl"
9,"t4","4","boy"
1,"t1","5","girl"
5,"t2","5","boy"
5,"t3","5","girl"
6,"t4","5","boy"
3,"t1","6","girl"
5,"t2","6","boy"
3,"t3","6","girl"
7,"t4","6","boy"
2,"t1","7","girl"
4,"t2","7","boy"
3,"t3","7","girl"
7,"t4","7","boy"
2,"t1","8","girl"
6,"t2","8","boy"
5,"t3","8","girl"
8,"t4","8","boy"
